Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,2739.90,237.46,172000.00,33,0,0,0,0,0,42,0,4,0.4594594594594595,444
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,15954.69,2159.24,369250.00,150,0,2,0,66,0,148,0,11,0.891224208433663,1548
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,32325.78,28883.60,2061000.00,673,0,0,0,30,0,772,0,19,0.7137404580152672,9432
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,21922.14,29862.00,10669200.00,573,39,0,15,24,0,705,0,16,0.9434726787126411,6324
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,62293.30,49359.79,12162600.00,824,0,57,0,30,0,663,0,15,0.8723569579120931,6804
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,19295.74,25401.20,11075100.00,497,89,0,12,7,0,576,0,13,0.9349987130280601,5892
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,33049.40,31301.80,15652000.00,721,47,0,31,52,0,820,0,19,0.9501673277835286,7896
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,15222.84,16560.00,9573900.00,348,2,0,5,23,0,381,0,8,0.9753528483759192,4608
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,16844.54,14025.00,9222400.00,338,25,0,4,0,21,397,0,10,0.9733984354162816,4236
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,76454.42,0.00,0,252,0,0,0,0,0,296,5,2.2032085561497325,2244
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,2031.03,1670.28,188000.00,32,0,0,0,0,0,35,0,2,0.828665179138268,432
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,22075.56,1998.20,510500.00,205,0,5,0,49,0,217,0,20,0.8416396944907398,2148
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,48966.75,23520.00,1106250.00,455,0,26,0,29,0,416,0,10,0.8035992072798775,5196
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,31064.55,35114.00,10749100.00,585,47,0,48,25,0,603,0,15,0.93210723601429,6372
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,25902.37,26040.94,10247400.00,443,0,3,0,15,0,506,0,13,0.978554874362849,5736
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,43220.00,35140.00,16693400.00,675,2,0,11,5,0,799,0,18,0.979551516631985,8856
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,30574.91,24570.00,9854000.00,492,42,0,52,31,0,552,0,12,0.9275727811183242,5004
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,39154.32,28500.00,15852900.00,584,43,0,21,20,0,635,0,14,0.9601257416079045,7596
